iter	MultiClass
208	0.08108915584
209	0.08087539944
210	0.0804814413
211	0.08013880255
212	0.07990337465
213	0.07962993919
214	0.07944940721
215	0.07911847777
216	0.07881162331
217	0.07851802692
218	0.07816625473
219	0.07798142643
220	0.07769075229
221	0.0774876524
222	0.07716842037
223	0.07669509957
224	0.07638565231
225	0.07616602058
226	0.07592215378
227	0.07536392692
228	0.07507594691
229	0.07491107527
230	0.07478565393
231	0.07451215351
232	0.07437270984
233	0.07413954263
234	0.07396658843
235	0.07357609518
236	0.07323751796
237	0.07299972262
238	0.07276281081
239	0.0723847992
240	0.07194188635
241	0.07155119047
242	0.07138350691
243	0.07113418729
244	0.0707698499
245	0.07047829313
246	0.07023733197
247	0.07011016394
248	0.06988785229
249	0.06964679778
250	0.06949823111
251	0.06925571763
252	0.06894493185
253	0.06870397645
254	0.06853489145
255	0.06827332206
256	0.06810385434
257	0.0679586435
258	0.06775224733
259	0.06758302459
260	0.0674759726
261	0.06733649339
262	0.06701081932
263	0.06689702697
264	0.06670766281
265	0.06649699318
266	0.0661640418
267	0.06586677402
268	0.0657332934
269	0.06557123324
270	0.06544221214
271	0.06527303363
272	0.0648081389
273	0.06465250935
274	0.06450064952
275	0.06433589967
276	0.06423556612
277	0.06406153365
278	0.06391491901
279	0.06382072818
280	0.06370487172
281	0.06354159444
282	0.06342219507
283	0.06328210289
284	0.0631206569
285	0.06296099784
286	0.06287416506
287	0.06279132999
288	0.06265362154
289	0.06242997755
290	0.06233904854
291	0.06213731693
292	0.06190999157
293	0.06182228531
294	0.06168296179
295	0.06147302984
296	0.06124425732
297	0.06114947403
298	0.06106288895
299	0.06093484305
300	0.0608551439
301	0.06077877845
302	0.06060176382
303	0.06038370996
304	0.06027352737
305	0.06018543733
306	0.06011945043
307	0.06002069315
308	0.05996601774
309	0.05989273924
310	0.05978648411
311	0.05974671396
312	0.05965534732
313	0.05956109604
314	0.05943975254
315	0.05935795435
316	0.05927854015
317	0.05915383905
318	0.05902182343
319	0.0589426871
320	0.05879082813
321	0.05868289524
322	0.05861049952
323	0.05840481234
324	0.05830793535
325	0.05817320111
326	0.05808921822
327	0.05804918339
328	0.05795693782
329	0.05783590395
330	0.05767766838
331	0.05755458546
332	0.05745160341
333	0.05738389305
334	0.0573151165
335	0.05723557522
336	0.05705485878
337	0.05697979652
338	0.05687446752
339	0.05676532981
340	0.05670916922
341	0.05654445911
342	0.05643506764
343	0.05630239118
344	0.05618691655
345	0.05604526452
346	0.05592341733
347	0.0557928395
348	0.05572089114
349	0.05567418176
350	0.05560586238
351	0.05548279354
352	0.05537314137
353	0.05531732372
354	0.05526642098
355	0.05520950964
356	0.05515548677
357	0.05503110292
358	0.05499034752
359	0.05496288613
360	0.05491005372
361	0.05483348477
362	0.05474336281
363	0.05468913452
364	0.0546275841
365	0.05454152246
366	0.05443587294
367	0.05437964727
368	0.05429314607
369	0.05423710783
370	0.05416903062
371	0.05413390433
372	0.0540688182
373	0.05399234026
374	0.05391017255
375	0.05381931464
376	0.05377616929
377	0.05369254657
378	0.05362862727
379	0.05359327358
380	0.05352180376
381	0.05346895725
382	0.05340889466
383	0.05332069518
384	0.05322670717
385	0.05314915474
386	0.05309971496
387	0.05306437393
388	0.05297412059
389	0.05292023951
390	0.05286414233
391	0.0528017669
392	0.05272059637
393	0.05267251833
394	0.0526449359
395	0.05259447706
396	0.05252774205
397	0.05247958837
398	0.05242737166
399	0.05233849397
400	0.0522780493
401	0.05224150727
402	0.05218661748
403	0.05214387684
404	0.05208200328
405	0.05202651558
406	0.0519878482
407	0.05194113482
408	0.05190855165
409	0.0517785372
410	0.05171367938
411	0.05166911796
412	0.05162303349
413	0.05157076226
414	0.05155640635
415	0.0515189219
416	0.05147289144
417	0.0514403209
418	0.05141112972
419	0.05137044757
420	0.0513378703
421	0.05129458062
422	0.05123086288
423	0.05120650579
424	0.05115618627
425	0.05112521922
426	0.05109201924
427	0.05102111235
428	0.05099642086
429	0.05096069449
430	0.050925608
431	0.05079126098
432	0.05071987442
433	0.05065752601
434	0.0506269821
435	0.05060723959
436	0.05056473909
437	0.05052969857
438	0.05049524017
439	0.05046171692
440	0.05040761597
441	0.05036769839
442	0.05034246677
443	0.05031225367
444	0.05025088636
445	0.05021031753
446	0.0501751539
447	0.05015672005
448	0.05012679269
449	0.0501045525
450	0.05008494741
451	0.0500337652
452	0.05000448239
453	0.04994334455
454	0.04992962876
455	0.0498822278
456	0.0498501244
457	0.04979423225
458	0.04976051119
459	0.04969863015
460	0.04966597055
461	0.04963606718
462	0.04959967222
463	0.04958349091
464	0.04956129152
465	0.04954842945
466	0.04951389729
467	0.04949978862
468	0.04945696088
469	0.04942304919
470	0.04940002975
471	0.04934715114
472	0.04932369796
473	0.04926924463
474	0.04924098222
475	0.04920641146
476	0.04918494364
477	0.04915573302
478	0.04912395471
479	0.04908200178
480	0.04905078372
481	0.04901823371
482	0.04893970673
483	0.04890094676
484	0.04889452264
485	0.04888507806
486	0.04885997086
487	0.04882703174
488	0.0487775231
489	0.04867469984
490	0.04863888715
491	0.04862261474
492	0.04860103223
493	0.04859058158
494	0.04856128837
495	0.04851770596
496	0.0484803437
497	0.04846580633
498	0.04844800379
499	0.04843748637
