iter	MultiClass
0	0.6701785149
1	0.6512218894
2	0.6319064658
3	0.6172414222
4	0.6000564006
5	0.5805827455
6	0.5631532989
7	0.5488863263
8	0.5393175338
9	0.5273551285
10	0.5181421571
11	0.5038698722
12	0.4959239787
13	0.4869228143
14	0.4772021868
15	0.4709937258
16	0.4622074376
17	0.4543685812
18	0.4417517116
19	0.4333688973
20	0.4275420799
21	0.4214640288
22	0.4108053047
23	0.4054109739
24	0.3993908891
25	0.3903522291
26	0.3842750889
27	0.379250035
28	0.3747669481
29	0.36811302
30	0.3645863299
31	0.3597041676
32	0.3554538582
33	0.3502702147
34	0.3436135341
35	0.3395952562
36	0.3336749147
37	0.3302017355
38	0.3259444678
39	0.3209766281
40	0.3166134464
41	0.3127113666
42	0.3095275621
43	0.3041111133
44	0.3007535993
45	0.2963930764
46	0.2928483912
47	0.2887447063
48	0.2838621086
49	0.2817098473
50	0.2775148037
51	0.2741772338
52	0.2707574225
53	0.2659909338
54	0.2633963105
55	0.2607180371
56	0.2576087765
57	0.2557317031
58	0.2518361756
59	0.2491400906
60	0.2451094821
61	0.2433168976
62	0.2404890607
63	0.2363506229
64	0.2333197558
65	0.2312173424
66	0.2297102265
67	0.2265010371
68	0.2243616507
69	0.2215814684
70	0.2197128797
71	0.2164879546
72	0.2130219529
73	0.2098211746
74	0.2075157582
75	0.2051774616
76	0.2040940191
77	0.2029451415
78	0.200736128
79	0.1978850048
80	0.195779474
81	0.1942408843
82	0.1914758106
83	0.1899606664
84	0.1879389986
85	0.1864186399
86	0.1852276891
87	0.182955815
88	0.1815408611
89	0.1789514131
90	0.1776393999
91	0.1763743544
92	0.1747325703
93	0.1722809803
94	0.170032289
95	0.1684024821
96	0.1670591639
97	0.1661503867
98	0.1643046277
99	0.1622573124
100	0.1601112178
101	0.159026963
102	0.1574779065
103	0.1561643747
104	0.1550606744
105	0.1538746378
106	0.1523078519
107	0.1514576005
108	0.1494484741
109	0.1481939555
110	0.1461237016
111	0.1448908821
112	0.1437567934
113	0.1424003619
114	0.1413015443
115	0.1401079227
116	0.1385640066
117	0.1377919264
118	0.1365545115
119	0.1358265389
120	0.1348023255
121	0.1337837808
122	0.1327376036
123	0.1313066927
124	0.1302360379
125	0.1290952682
126	0.1287904616
127	0.1279845714
128	0.1271697159
129	0.1257570101
130	0.1249948698
131	0.1239257443
132	0.1232877456
133	0.1228356937
134	0.1222254588
135	0.1211712593
136	0.1204249136
137	0.1196030938
138	0.118742437
139	0.1180571887
140	0.1172722769
141	0.1165498408
142	0.1155660747
143	0.1149818695
144	0.1140627946
145	0.1132869205
146	0.1126437641
147	0.1120114911
148	0.111448084
149	0.110368044
150	0.1098869445
151	0.1090131884
152	0.1084526581
153	0.1075022966
154	0.1068712033
155	0.1065988556
156	0.1061907462
157	0.1055534493
158	0.1046137943
159	0.1038206043
160	0.1033795224
161	0.1027859831
162	0.1023053179
163	0.101746395
164	0.1011474246
165	0.10075004
166	0.1000647616
167	0.09928341754
168	0.09887406889
169	0.09822755913
170	0.09794239452
171	0.09742985192
172	0.09710203113
173	0.0965770239
174	0.09626779784
175	0.09555620752
176	0.09477361977
177	0.09411505396
178	0.09368174888
179	0.09319639236
180	0.09276814507
181	0.09233389451
182	0.09174517697
183	0.09147344283
184	0.09104112213
185	0.09082408012
186	0.09036232006
187	0.08973431819
188	0.08924337079
189	0.08868419444
190	0.08815381544
191	0.08778094005
192	0.08750123002
193	0.08705016861
194	0.08647798397
195	0.08618763308
196	0.08570409753
197	0.08545511941
198	0.0849694449
199	0.08468551735
200	0.084305093
201	0.08412437556
202	0.08377023168
203	0.08329261
204	0.08268567127
205	0.08212686549
206	0.08172747319
207	0.0814127803
